,log_return,vol_5d,vol_20d,vol_60d,log_vol_5d,log_vol_20d,log_vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,YIELD_SPREAD_diff,DEBT_EQUITY_diff,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4,close
1999-12-10,0.0033097222907969275,0.006304897626892192,0.007555978984776779,0.011468388654895335,-5.066428546510365,-4.885416110609741,-4.468160841153754,0.8344249818051146,0.5497631634764066,0.002988035126104016,0.052149904083137244,0.06442148324867958,58.01146930551231,0.010659741510536405,-0.002442902229359287,5.740402193784266,-0.171,0.78,2.495435179549599,36.97,1.005827087168373,-0.10999999999999999,0.0,0,0.8462396646298881,6.221845442521413e-08,0.14269928166279033,5.662182634171873e-08,0.011060934866363361,88.91124725341797
1999-12-13,0.0017606249655279847,0.005934718143163056,0.007333822609068824,0.0113713521841356,-5.126935742669441,-4.915258397099096,-4.476658052685188,0.8092257557231245,0.5219008300035505,0.00391269148706308,0.05291404033224656,0.06552827565565011,58.78819359290562,0.01027142469846816,-0.0022465363964968496,5.740402193784266,-0.171,0.72,2.495435179549599,36.97,1.005827087168373,-0.06000000000000005,0.0,0,0.8802480479430466,9.966975341766996e-08,0.11020642532465523,4.807660729559832e-07,0.009544946296367882,89.06792449951172
1999-12-14,-0.009721937461034372,0.006439052410348307,0.00769136781560417,0.011451732907657669,-5.045373890942473,-4.8676566418921094,-4.469614214786527,0.837179103212932,0.5622775576648816,-0.006035848779284425,0.04180271569108984,0.05447056525642813,52.98300513871735,0.009181877429894559,-0.002766700796765961,5.740402193784266,-0.171,0.83,2.495435179549599,36.97,1.005827087168373,0.10999999999999999,0.0,0,0.9079405448623218,2.3688303918715145e-07,0.08677008502801566,2.5433213297472356e-06,0.005286589905515561,88.20620727539062
1999-12-15,0.0053145492423656415,0.006213578799725921,0.007552679018799674,0.011088554275996101,-5.081018252779502,-4.885852941733829,-4.501841848967602,0.8226986456407659,0.5603596866704921,-0.000827528001850486,0.045967040968056594,0.05933376342865371,55.56071096816138,0.008524644727167933,-0.0026884805072108324,5.740402193784266,-0.169,0.9,2.495435179549599,30.35,1.005827087168373,0.07000000000000006,-6.619999999999997,0,0.937878364529072,4.799929355070648e-07,0.06059183196821885,4.6135179087844975e-06,0.001524709992521724,88.67623138427734
1999-12-16,0.004407388218668674,0.006146095309368128,0.007594132173281118,0.011091095568594037,-5.091938307849645,-4.880379412362032,-4.50161269362684,0.8093216142579526,0.5541468172694898,0.003408787265766655,0.04909880935354782,0.0632917242483173,57.644705974606204,0.008266550299916877,-0.0023178104691697655,5.740402193784266,-0.169,0.92,2.6139817629179385,30.35,1.005827087168373,0.020000000000000018,0.0,0,0.9625432657341806,4.32382336398481e-07,0.037214165159724956,2.4147987053624026e-06,0.00023972192516736343,89.06792449951172
1999-12-17,0.006401600850622489,0.0065753608308027085,0.007565221382251945,0.010704657107076203,-5.02442582321458,-4.884193668157847,-4.537076388553339,0.8691564329139851,0.6142523543753806,0.009705705684130983,0.05387036860368055,0.06945869133548088,60.553902851491436,0.008457497256826029,-0.0016474584587810731,5.740402193784266,-0.169,0.86,2.6139817629179385,30.35,1.0077730824447637,-0.06000000000000005,0.0,0,0.9747437538060445,5.622955649410694e-07,0.025239583958673106,5.020747515433073e-07,1.5597864081230175e-05,89.63993072509766
1999-12-20,-0.007253834300009648,0.007675267384399214,0.007742830265590369,0.010763433298467557,-4.869752147757514,-4.860987990831591,-4.531600695360396,0.9912741363463166,0.7130872809414799,0.0025834925295111777,0.04442533687707906,0.06114659082843388,55.87283443839786,0.008033549697490988,-0.001715977750651694,5.740402193784266,-0.169,0.73,2.6139817629179385,30.35,1.0077730824447637,-0.13,0.0,0,0.9866107923216622,3.7249676397999276e-07,0.01338806041756023,5.997628621843365e-08,7.147870770994232e-07,88.99205017089844
1999-12-21,0.015106718421610675,0.007976642228915979,0.008463051849459183,0.010883708485284254,-4.831237729389152,-4.772045431707809,-4.520488242204811,0.9425255062599803,0.7328974530787103,0.017234934274630964,0.05830285843478733,0.07660865681115325,62.41489054568659,0.008644271141154998,-0.0007672638754811379,5.740402193784266,-0.169,0.79,2.6139817629179385,30.35,1.0077730824447637,0.06000000000000005,0.0,0,0.9912349204957954,6.182284245839132e-07,0.008764444616547908,4.3492611053959716e-09,1.230957405584755e-08,90.34663391113281
1999-12-22,0.0026041239937640475,0.008024486781189118,0.008175512855641515,0.010872265467316329,-4.825257564510904,-4.806611829531507,-4.5215401849078205,0.9815270213478801,0.7380694304523686,0.018693284911564412,0.05896379770770266,0.07875472787215676,63.43031476183226,0.009302365890921014,-6.775376468778731e-05,5.740402193784266,-0.168,0.83,2.6139817629179385,30.35,1.0077730824447637,0.039999999999999925,0.0,0,0.9957875991415127,6.583763912474828e-07,0.004211739975832642,2.0275738337051473e-09,4.79135631995657e-10,90.58221435546875
1999-12-23,0.015804650061434174,0.009552516347189878,0.00877112031417631,0.010858763792175352,-4.650950667345036,-4.736290736836843,-4.522782802247025,1.0890873691187017,0.8797056948667826,0.03314637643479945,0.0732082861848784,0.09523277878607317,68.96175878163814,0.01082786640105942,0.0012837392653673885,5.740402193784266,-0.168,0.94,2.6139817629179385,30.35,1.0077730824447637,0.10999999999999999,0.0,0,0.9989451970067647,1.0718334058273947e-06,0.001053731036906825,1.2261090212697897e-10,2.353120909250376e-13,92.02520751953125
1999-12-27,-0.0013877225018680557,0.010192923003378205,0.008709767326969129,0.010739770783646746,-4.586061622696834,-4.743310201796103,-4.533801532433941,1.1702864865076932,0.9490819877551562,0.029828812262933546,0.06938960549933193,0.09296690847371858,67.98239886587754,0.011919851499142157,0.0018899764554368217,5.670126456057645,-0.168,0.93,2.6139817629179385,30.35,1.0083723892600098,-0.009999999999999898,0.0,0,0.9998226486311921,6.457834601991845e-07,0.00017670551159274965,7.330340695750696e-11,1.4923093961160005e-13,91.89759063720703
1999-12-28,-0.0006407923322195068,0.00849752615691322,0.008639894838445256,0.010730995868009111,-4.767980198209482,-4.7513648677164895,-4.534618915089023,0.9835219427789176,0.7918674335012805,0.027146152029467352,0.06636154598234834,0.0915993782849771,67.50614757522399,0.012584736535338214,0.0020387458919713664,5.670126456057645,-0.168,1.02,2.6139817629179385,30.35,1.0083723892600098,0.08999999999999997,0.0,0,0.9999866602209565,5.727153205791837e-07,1.2767056126854388e-05,6.986684796029492e-12,2.3411231826572676e-15,91.8387222290039
1999-12-29,0.004265619440776389,0.006925493880651572,0.008016563251092882,0.01054294921819059,-4.9725459109461365,-4.826245471253257,-4.552297963036448,0.8638981149069626,0.6568839266248637,0.028691968318943495,0.06879122331678733,0.09555047990053711,69.0626838385749,0.013240659703105886,0.0021916467471125595,5.670126456057645,-0.169,1.17,2.6139817629179385,30.35,1.0083723892600098,0.1499999999999999,0.0,0,0.9999991149674594,5.613978715288639e-07,3.236352033775962e-07,2.142408733456631e-13,7.120736355643252e-18,92.23130798339844
