,log_return,vol_5d,vol_20d,vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,regime_label,close
2007-08-22,0.01179799615496114,0.007524847577305676,0.01544161569750676,0.01122545832746051,0.48730960054398037,0.6703376697678224,0.007806622852216227,-0.02177522543939614,0.012798225713214428,49.537023205210744,-0.010576577677585306,0.0015119240128909396,6.094926732442052,0.059,0.96,1.982326951399127,41.95,0.5895144503597656,1,103.67913818359375
2007-08-23,-0.0008868908558301954,0.008483055651402508,0.014522368888686795,0.011167710073255238,0.5841371828814356,0.7596056484057534,0.0074324659950819605,-0.021957249916954802,0.011486369251239914,49.211430756394904,-0.009076359966431455,0.0024182941290556356,6.094926732442052,0.059,0.73,1.982326951399127,41.95,0.5895144503597656,1,103.58722686767578
2007-08-24,0.012277656252532153,0.006574074562193189,0.014038843446550342,0.011292520118843637,0.46827750357231784,0.5821618640486761,0.01874987895725999,-0.009397736669037982,0.023552536309043415,53.76757299966278,-0.006721702186429445,0.0037061498556011417,6.094926732442052,0.059,0.39,1.982326951399127,41.95,0.5855518302851667,1,104.86687469482422
2007-08-27,-0.009346853979145253,0.009108842252916884,0.013793163777418052,0.011326834982532797,0.6603881748891965,0.8041824805396832,0.00942118637387157,-0.017906494255119476,0.013671911779642887,50.079011856316185,-0.005682064421030997,0.0038749697292992293,6.684316948634761,0.059,-0.03,1.982326951399127,41.95,0.5855518302851667,1,103.89126586914062
2007-08-28,-0.02222562124651292,0.01464585879886682,0.014457418362726387,0.01166122405355092,1.0130341691312097,1.2559452362470522,-0.012087734282109408,-0.03845244733954656,-0.008838641349890541,42.69578557724503,-0.006652988577806247,0.002495067730065901,6.684316948634761,0.059,0.13,1.982326951399127,41.95,0.5855518302851667,1,101.6076889038086
2007-08-29,0.019431802096798362,0.01666097084471816,0.01510457009909401,0.011951057438635677,1.1030417109135404,1.394100139696104,0.0072588196523011295,-0.018896858687824425,0.010252483505132082,49.67221664413062,-0.005563378040824758,0.0027269048353675716,6.684316948634761,0.154,0.59,1.982326951399127,41.95,0.5855518302851667,1,103.6014175415039
2007-08-30,-0.002665257746954309,0.01669957229414082,0.014997777972430095,0.01188035899621158,1.1134697636435926,1.4056454269998064,0.005078667005193216,-0.020957837740460117,0.007223003486052537,48.78750793464809,-0.004972168436392913,0.002672191721647149,6.684316948634761,0.154,0.67,1.982326951399127,41.95,0.5855518302851667,2,103.3256607055664
2007-08-31,0.009804836090274419,0.01625709900039137,0.013880331279961968,0.011724603183946641,1.171232780579277,1.3865798906227067,0.013660768461083883,-0.01121522067853098,0.016764938141520247,52.174280490015114,-0.0036190168342115567,0.0031606062976393384,6.684316948634761,0.154,0.53,1.982326951399127,41.95,0.5846382525864895,2,104.34373474121094
2007-09-04,0.01004484249075234,0.016080209571347995,0.013572828553486977,0.011676120540940282,1.1847353341258295,1.377187698171284,0.0228860183616848,-0.0010866611207366317,0.02662737353785194,55.45667389342843,-0.0017327925050846758,0.003983257012839084,6.684316948634761,0.154,0.09,1.982326951399127,41.95,0.5846382525864895,2,105.39713287353516
2007-09-05,-0.008690811840297455,0.011194828008236214,0.013537478991840164,0.011725173422829934,0.8269507206610622,0.954768650708305,0.014027862279134995,-0.009413949450992387,0.017404313339076216,52.12133394352419,-0.0009621793286873067,0.0038430110351943153,6.684316948634761,0.205,0.12,1.982326951399127,41.95,0.5846382525864895,2,104.48511505126953
2007-09-06,0.0022978932023104913,0.008087899757692465,0.013157163666057133,0.011645818917564296,0.6147145359723417,0.6944895687407817,0.016953762227554847,-0.007037704998803074,0.01940536920565905,52.92493757749773,-0.00015173991154724892,0.003713937051843671,6.684316948634761,0.205,0.22,1.982326951399127,41.95,0.5846382525864895,2,104.7254867553711
2007-09-07,-0.014004125605342478,0.010884619965465102,0.011665885318556814,0.011613602499569052,0.9330299131392146,0.937230283701289,0.002577451900382277,-0.020280665545621357,0.004966982652098828,47.70098186937784,-0.000634963768206579,0.0026281835650071453,6.684316948634761,0.205,0.31,1.982326951399127,41.95,0.5874950451257646,2,103.26911926269531
2007-09-10,-0.0019188458858149945,0.009372715264955018,0.011620746283992577,0.011578828907616953,0.8065502021901819,0.8094700543324655,0.0002847682237623328,-0.02145717871938202,0.002791470333502799,47.02155334906115,-0.0011597922077699837,0.0016876980908221524,6.684316948634761,0.205,0.38,1.982326951399127,41.95,0.5874950451257646,2,103.07115173339844
2007-09-11,0.01159316124865699,0.009899672114833797,0.011872504601513153,0.011659142272987992,0.8338318195784975,0.8490909436596762,0.011164749249949146,-0.009428415161630954,0.0141784160551357,51.53486632271217,-0.0006193954384508774,0.00175621924956356,6.684316948634761,0.205,0.26,1.982326951399127,41.95,0.5874950451257646,2,104.27302551269531
2007-09-12,0.002573425050264526,0.009301116528603423,0.011247417532923493,0.011666150623488638,0.8269557435186479,0.7972738248275782,0.01208414490464893,-0.0063176015170699484,0.0164812274320989,52.50890602182455,6.11354972475724e-06,0.00190049810473727,6.684316948634761,0.222,0.38,1.982326951399127,41.95,0.5874950451257646,2,104.54170989990234
2007-09-13,0.0070086288107287795,0.009803380449255593,0.010683759885038245,0.01170071815807448,0.9175964786502219,0.8378443371435655,0.016464725151535076,0.0011600869716970053,0.02326160470443761,55.16447280706435,0.0010485498042304326,0.002343762991585413,6.684316948634761,0.222,0.41,1.982326951399127,41.95,0.5874950451257646,2,105.2769775390625
2007-09-14,-6.747159826941772e-05,0.005481526830328884,0.010639596803087324,0.011565458533644006,0.5152006163183076,0.4739567233225627,0.014042700238761974,0.0013438777915040223,0.022757558770248876,55.13240044529117,0.0018481000545387861,0.0025147205079566865,6.684316948634761,0.222,0.46,1.982326951399127,42.71,0.5818793346196773,2,105.2698745727539
2007-09-17,-0.0053872464566962685,0.006514310272503128,0.010081275048497273,0.011558768211230662,0.6461792026470063,0.5635817029511616,0.007431586248336508,-0.0036027888124887664,0.01687881006124692,52.51424645942769,0.0020357531887754657,0.0021647796653875193,6.684316948634761,0.222,0.33,2.758756783423788,42.71,0.5818793346196773,2,104.70428466796875
2007-09-18,0.02901449280900531,0.01329412467287565,0.011833942441517769,0.01210383193143374,1.1233893301893232,1.0983401577438225,0.03433881953467477,0.0255110235488476,0.0463153038729891,62.864587473313854,0.004371510056456065,0.0035974773469569328,6.684316948634761,0.222,0.49,2.758756783423788,42.71,0.5818793346196773,2,107.78672790527344
2007-09-19,0.005885819134040489,0.013122970737755278,0.011854898300677433,0.012107523311941384,1.1069661168670997,1.0838691282809574,0.03747792578470244,0.03115672509005951,0.05195915744701152,64.5807981804835,0.006629089209565545,0.0046876791484064505,6.684316948634761,0.198,0.6,2.758756783423788,42.71,0.5818793346196773,2,108.42301177978516
2007-09-20,-0.0070670239939604924,0.014622699705203484,0.011854040613229885,0.012065797905571296,1.2335624773280762,1.2119131962629306,0.028213804892588623,0.023437590101457628,0.044050411242513965,60.94121553892973,0.007835819032541822,0.004704512308591447,6.684316948634761,0.198,0.9,2.758756783423788,42.71,0.5818793346196773,2,107.65948486328125
2007-09-21,0.0026947297419236097,0.014459415661513243,0.011837025016960736,0.011935571161936945,1.2215413620225524,1.211455695360851,0.028844853561049044,0.025935924323321924,0.04638913971975067,61.82280288188549,0.008846514299196993,0.004578907393370497,6.684316948634761,0.198,0.9,2.758756783423788,42.71,0.582971102522331,2,107.94998931884766
2007-09-24,-0.0018441329553773923,0.01389726442512509,0.011614724933012703,0.011938550697826456,1.1965211836937,1.1640662905301595,0.02553973085720851,0.023813012392128963,0.04401562687919114,60.81081851572949,0.009424464924955484,0.004119184578748404,6.684316948634761,0.198,0.79,2.758756783423788,42.71,0.582971102522331,2,107.7510986328125
2007-09-25,-0.001979632852799388,0.004952261941614586,0.011371680936207225,0.011941923779534135,0.4354907572060586,0.4146954906965399,0.021738399484976467,0.021596302653918764,0.04151308376473106,59.68355209346699,0.00961833912538216,0.0034420366955928133,6.684316948634761,0.198,0.84,2.758756783423788,42.71,0.582971102522331,2,107.53800201416016
2007-09-26,0.005270501666000962,0.004758954153223749,0.009889189705584138,0.011904911530756965,0.4812279160279943,0.39974712461564627,0.023976454498944033,0.026865877353090317,0.046526422244367094,61.72138672571431,0.010014619775287502,0.003096627140006555,7.182320441988943,0.142,0.9,2.758756783423788,42.71,0.582971102522331,2,108.10627746582031
2007-09-27,0.005896535954465539,0.0037741346691707272,0.009148057290995808,0.011919880754156505,0.4125613285003701,0.31662520347400896,0.02752886074775307,0.032768069376369,0.052199325585019496,63.930325112342516,0.010659311756132406,0.003025593026304522,7.182320441988943,0.142,0.87,2.758756783423788,42.71,0.582971102522331,2,108.74561309814453
2007-09-28,-0.0033373749155930343,0.004410094273381597,0.009168943801612992,0.011927471993107478,0.48098171052218436,0.3697425804839496,0.021664103375555577,0.029197641922761974,0.04821246790354916,61.75537071130546,0.010859464124386334,0.002560181002697729,7.182320441988943,0.142,0.77,2.758756783423788,42.71,0.5823614043613582,2,108.38329315185547
2007-10-01,0.0112099049233946,0.0060220020573650175,0.00923390478492564,0.01199556404596917,0.6521620265346404,0.5020190825781612,0.030625564894983137,0.040560847349224494,0.05947633733652924,65.9608468720149,0.011632738896237277,0.002740776352141117,7.182320441988943,0.142,0.64,2.758756783423788,42.71,0.5823614043613582,2,109.60509490966797
2007-10-02,-0.001361903135494112,0.0058885944748949415,0.009091924385726396,0.011997059199644786,0.647673058537483,0.4908364939192176,0.027262626440513138,0.038944650986848295,0.05749610388676074,65.02077285931026,0.012108768689704577,0.0025637503231010113,7.182320441988943,0.142,0.58,2.758756783423788,42.71,0.5823614043613582,2,109.45592498779297
